epoch,step,train_loss
1,20,1.2498
1,40,0.8279
1,60,0.5392
1,80,0.5051
1,100,0.2268
1,120,0.5043
1,140,0.4094
1,160,0.7417
1,180,0.6005
1,200,0.35
1,220,0.3036
1,240,0.3837
1,260,0.2469
1,280,0.1725
1,300,0.1059
1,320,0.1959
1,340,0.1819
1,360,0.275
1,380,0.3477
1,400,0.0599
1,420,0.4
1,440,0.1245
1,460,0.3962
1,480,0.1309
1,500,0.3025
1,520,0.2107
1,540,0.2918
1,560,0.2466
1,580,0.031
1,600,0.422
1,620,0.1135
1,640,0.0776
1,660,0.7679
1,680,0.3413
1,700,0.3062
1,720,0.1798
1,740,0.0413
1,760,0.0297
1,780,0.0674
1,800,0.1081
1,820,0.1469
1,840,0.3654
1,860,0.0569
1,880,0.1059
1,900,0.3363
1,920,0.0846
1,940,0.0698
1,960,0.2737
1,980,0.5683
1,1000,0.2257
1,1020,0.5667
1,1040,0.4023
1,1060,0.1543
1,1080,0.1836
1,1100,0.4654
1,1120,0.3476
1,1140,0.2118
1,1160,0.4067
1,1180,0.463
1,1200,0.126
1,1220,0.9357
1,1240,0.101
1,1260,0.0292
1,1280,0.2347
1,1300,0.1845
1,1320,0.4874
1,1340,0.4199
1,1360,0.0653
1,1380,0.2946
1,1400,0.0644
1,1420,0.2526
1,1440,0.1535
1,1460,0.1863
1,1480,0.1512
1,1500,0.1861
1,1520,0.0466
1,1540,0.2311
1,1560,0.4327
1,1580,0.047
1,1600,0.2203
1,1620,0.1555
1,1640,0.3967
1,1660,0.1767
1,1680,0.3059
1,1700,0.3213
1,1720,0.459
1,1740,0.4246
1,1760,0.2772
1,1780,0.2345
1,1800,0.2915
1,1820,0.188
1,1840,0.4565
1,1860,0.0776
1,1880,0.109
1,1900,0.0753
1,1920,0.3711
1,1940,0.1772
1,1960,0.0491
1,1980,0.153
1,2000,0.3617
1,2020,0.131
1,2040,0.2399
1,2060,0.4418
1,2080,0.0721
1,2100,0.0631
1,2120,0.1704
1,2140,0.2526
1,2160,0.1186
1,2180,0.4353
1,2200,0.0655
1,2220,0.2697
1,2240,0.4922
1,2260,0.0461
1,2280,0.2762
1,2300,0.087
1,2320,0.2578
1,2340,0.1354
1,2360,0.1824
1,2380,0.1819
1,2400,0.0765
1,2420,0.1489
1,2440,0.0513
1,2460,0.0294
1,2480,0.0299
1,2500,0.3849
1,2520,0.4107
1,2540,0.0415
1,2560,0.0949
1,2580,0.3013
1,2600,0.1561
1,2620,0.4276
1,2640,0.0725
1,2660,0.0352
1,2680,0.1536
1,2700,0.2734
1,2720,0.2167
1,2740,0.2469
1,2760,0.0576
1,2780,0.2467
1,2800,0.1464
1,2820,0.2301
